author,date,title,country_publication,author_gender,filename,notes
"Putnam, Mary Lowell",1866,Fifteen Days: An Extract from Edward Colvil's Journal,United States,female,lowell_days.txt,
"Sabatini, Rafael",1904,The Tavern Knight,England,male,sabatini_tavernknight.txt,
"Sabatini, Rafael",1915,The Sea Hawk,England,male,sabatini_seahawk.txt,
"Sabatini, Rafael",1922,Captain Blood,England,male,sabatini_captainblood.txt,
"Shelley, Mary Wollstonecraft",1818,"Frankenstein; or, The Modern Prometheus",England,female,shelley_frankenstein.txt,
"Stevenson, Robert Louis",1886,The Strange Case of Dr. Jekyll and Mr. Hyde,England,male,stevenson_jekyll.txt,
"Stoker, Bram",1897,Dracula,England,male,stoker_dracula.txt,
"Thackeray, William Makepeace",1848,Vanity Fair,England,male,thackeray_vanity.txt,
"Trollope, Anthony",1855,The Warden,England,male,trollope_warden.txt,
"Twain, Mark",1876,The Adventures of Tom Sawyer,United States,male,twain_tom.txt,
"Ward, Humphry",1900,Eleanor,England,female,ward_eleanor.txt,
"Warner, Charles",1886,Their Pilgrimage,United States,male,warner_pilgrimage.txt,
"Wells, Herbert George",1895,The Time Machine,England,male,wells_thetimemachine.txt,
"Wells, Herbert George",1897,The Invisible Man,England,male,wells_invisibleman.txt,
"Wilde, Oscar",1890,The Picture of Dorian Gray,England,male,wilde_doriangray.txt,
"Wood, Ellen",1861,East Lynne,England,female,wood_eastlynne.txt,
"Yonge, Charlotte M.",1853,The Heir of Redclyffe,England,female,yonge_redclyffe.txt,
"Yonge, Charlotte M.",1886,Chantry House,England,female,yonge_chantry.txt,
